Time [s],Channel 0
0.000000000,1
0.920681280,0
0.920683360,1
0.920684480,0
0.921133120,1
0.921523680,0
0.921525760,1
0.921526880,0
0.921529440,1
0.921530240,0
0.921972000,1
0.922366080,0
0.922368160,1
0.922369440,0
0.922371840,1
0.922372640,0
0.922814400,1
0.923208480,0
0.923210560,1
0.923211680,0
0.923214080,1
0.923215040,0
0.923656800,1
0.924050720,0
0.924052800,1
0.924053920,0
0.924056320,1
0.924057280,0
0.924499040,1
0.924892960,0
0.924895040,1
0.924896160,0
0.924898720,1
0.924899520,0
0.925341120,1
0.925735200,0
0.925737280,1
0.925738400,0
0.925740960,1
0.925741760,0
0.926183680,1
0.950949280,0
0.950951360,1
0.950952480,0
0.954439200,1
0.956166560,0
0.956168640,1
0.956169760,0
0.956172160,1
0.956173120,0
0.956588480,1
0.957851040,0
0.957853120,1
0.957854400,0
0.958299360,1
0.958693600,0
0.958695680,1
0.958696800,0
0.958699200,1
0.958700160,0
0.959142080,1
0.959536160,0
0.959538080,1
0.959539360,0
0.959541760,1
0.959542560,0
0.959984640,1
0.960378400,0
0.960380480,1
0.960381760,0
0.960384000,1
0.960384960,0
0.960826720,1
0.962117280,0
0.962119200,1
0.962120480,0
0.962122880,1
0.962123680,0
0.962538720,1
0.962932480,0
0.962934560,1
0.962935840,0
0.962938400,1
0.962939040,0
0.963381120,1
0.963775040,0
0.963776960,1
0.963778240,0
0.963780800,1
0.963781440,0
0.964223520,1
0.964617440,0
0.964619360,1
0.964620640,0
0.964623200,1
0.964623840,0
0.965065920,1
0.965459680,0
0.965461760,1
0.965463040,0
0.965465440,1
0.965466240,0
0.965908000,1
0.967198400,0
0.967200480,1
0.967201600,0
0.967204160,1
0.967204960,0
0.967624800,1
0.968013760,0
0.968015680,1
0.968016960,0
0.968019360,1
0.968020160,0
0.968462400,1
0.969725280,0
0.969727360,1
0.969728480,0
0.970176320,1
0.971437120,0
0.971439200,1
0.971440320,0
0.971442880,1
0.971443680,0
0.971885920,1
0.972279680,0
0.972281600,1
0.972282880,0
0.972285440,1
0.972286080,0
0.972728000,1
0.974018240,0
0.974020320,1
0.974021600,0
0.974024000,1
0.974024800,0
0.974444800,1
0.975702880,0
0.975704960,1
0.975706080,0
0.975708480,1
0.975709440,0
0.976156000,1
0.977414560,0
0.977416640,1
0.977417920,0
0.977420320,1
0.977421120,0
0.977867520,1
0.979126560,0
0.979128640,1
0.979129760,0
0.979132320,1
0.979133120,0
0.979579360,1
0.980838720,0
0.980840800,1
0.980841920,0
0.980844640,1
0.980845280,0
0.981286080,1
0.981681280,0
0.981683360,1
0.981684480,0
0.981686880,1
0.981687840,0
0.982130080,1
0.982523840,0
0.982525920,1
0.982527040,0
0.982529600,1
0.982530400,0
0.982972160,1
0.984262880,0
0.984264960,1
0.984266080,0
0.984268640,1
0.984269440,0
0.984684640,1
0.985078400,0
0.985080480,1
0.985081600,0
0.985084160,1
0.985084960,0
0.985526720,1
0.985920960,0
0.985923040,1
0.985924320,0
0.985926560,1
0.985927520,0
0.986369440,1
0.986763520,0
0.986765600,1
0.986766720,0
0.986769120,1
0.986770080,0
0.987211840,1
0.987605920,0
0.987608000,1
0.987609120,0
0.987611520,1
0.987612320,0
0.988054400,1
0.988448320,0
0.988450240,1
0.988451520,0
0.988454080,1
0.988454720,0
0.988896800,1
0.989290720,0
0.989292800,1
0.989293920,0
0.989296320,1
0.989297280,0
0.989739040,1
0.990133280,0
0.990135360,1
0.990136480,0
0.990138880,1
0.990139680,0
0.990581760,1
0.990975680,0
0.990977760,1
0.990978880,0
0.990981440,1
0.990982240,0
0.991424000,1
0.991818080,0
0.991820160,1
0.991821280,0
0.991823840,1
0.991824640,0
0.992266560,1
0.992660480,0
0.992662560,1
0.992663680,0
0.992666240,1
0.992667040,0
0.993108960,1
0.994399360,0
0.994401440,1
0.994402560,0
0.994404960,1
0.994405920,0
0.994820960,1
0.995214720,0
0.995216800,1
0.995217920,0
0.995220480,1
0.995221280,0
0.995663040,1
0.996953760,0
0.996955680,1
0.996956960,0
0.996959520,1
0.996960160,0
0.997380160,1
0.997768960,0
0.997771040,1
0.997772320,0
0.997774720,1
0.997775520,0
0.998217600,1
0.998611520,0
0.998613600,1
0.998614720,0
0.998617120,1
0.998618080,0
0.999059840,1
0.999453920,0
0.999456000,1
0.999457280,0
0.999459520,1
0.999460480,0
0.999902400,1
1.001192800,0
1.001194880,1
1.001196160,0
1.001198560,1
1.001199360,0
1.001614400,1
1.002877600,0
1.002879680,1
1.002880800,0
1.003329280,1
1.003720160,0
1.003722240,1
1.003723360,0
1.004168960,1
1.004562720,0
1.004564640,1
1.004565920,0
1.004568320,1
1.004569120,0
1.005010880,1
1.005405120,0
1.005407200,1
1.005408320,0
1.005410720,1
1.005411680,0
1.005853440,1
1.006247680,0
1.006249600,1
1.006250880,0
1.006253120,1
1.006254080,0
1.006695840,1
1.007090080,0
1.007092160,1
1.007093440,0
1.007095680,1
1.007096640,0
1.007538560,1
1.007932640,0
1.007934720,1
1.007935840,0
1.007938240,1
1.007939200,0
1.008380800,1
1.008775040,0
1.008777120,1
1.008778400,0
1.008780800,1
1.008781600,0
1.009223520,1
1.009617600,0
1.009619680,1
1.009620800,0
1.009623200,1
1.009624000,0
1.010065920,1
1.010460000,0
1.010462080,1
1.010463200,0
1.010465600,1
