Time [s],Channel 0
0.000000000,1
12.052292480,0
12.052294560,1
12.052295680,0
12.052297920,1
12.052298880,0
12.052745280,1
12.053134560,0
12.053136640,1
12.053137920,0
12.053140000,1
12.053141120,0
12.053583040,1
12.053976800,0
12.053978880,1
12.053980000,0
12.053982240,1
12.053983200,0
12.054428480,1
12.054819040,0
12.054820960,1
12.054822240,0
12.054824480,1
12.054825440,0
12.055267200,1
12.055661120,0
12.055663200,1
12.055664480,0
12.055666560,1
12.055667680,0
12.056109600,1
12.056503360,0
12.056505280,1
12.056506560,0
12.056508800,1
12.056509760,0
12.056954880,1
12.057345440,0
12.057347520,1
12.057348800,0
12.057351040,1
12.057352000,0
12.057797120,1
12.082556800,0
12.082558880,1
12.082560160,0
12.082562400,1
12.082563360,0
12.086045600,1
12.087747200,0
12.087749120,1
12.087750400,0
12.087752480,1
12.087753600,0
12.088198720,1
12.089485920,0
12.089488000,1
12.089489280,0
12.089491360,1
12.089492480,0
12.089913760,1
12.090301120,0
12.090303200,1
12.090304320,0
12.090306400,1
12.090307520,0
12.090753600,1
12.091143520,0
12.091145440,1
12.091146720,0
12.091148800,1
12.091149920,0
12.091595040,1
12.091985760,0
12.091987840,1
12.091988960,0
12.091991200,1
12.091992160,0
12.092437280,1
12.093724640,0
12.093726720,1
12.093727840,0
12.093730080,1
12.093731040,0
12.094152480,1
12.094539680,0
12.094541760,1
12.094542880,0
12.094544960,1
12.094546080,0
12.094992160,1
12.095381920,0
12.095383840,1
12.095385120,0
12.095387200,1
12.095388320,0
12.095833440,1
12.096224160,0
12.096226080,1
12.096227360,0
12.096229440,1
12.096230560,0
12.096675680,1
12.097066400,0
12.097068480,1
12.097069600,0
12.097071840,1
12.097072800,0
12.097517920,1
12.098805120,0
12.098807200,1
12.098808480,0
12.098810560,1
12.098811520,0
12.099232960,1
12.099620160,0
12.099622240,1
12.099623520,0
12.099625600,1
12.099626560,0
12.100072800,1
12.101386400,0
12.101388480,1
12.101389600,0
12.101391840,1
12.101392800,0
12.101785920,1
12.103097920,0
12.103100000,1
12.103101120,0
12.103103360,1
12.103104320,0
12.103498880,1
12.103885760,0
12.103887840,1
12.103889120,0
12.103891200,1
12.103892160,0
12.104337280,1
12.105652000,0
12.105653920,1
12.105655200,0
12.105657280,1
12.105658400,0
12.106051520,1
12.107363840,0
12.107365760,1
12.107367040,0
12.107369120,1
12.107370240,0
12.107760800,1
12.109075680,0
12.109077600,1
12.109078880,0
12.109080960,1
12.109082080,0
12.109475040,1
12.110787360,0
12.110789440,1
12.110790720,0
12.110792800,1
12.110793920,0
12.111184480,1
12.112499360,0
12.112501280,1
12.112502560,0
12.112504640,1
12.112505760,0
12.112898880,1
12.113287360,0
12.113289280,1
12.113290560,0
12.113292640,1
12.113293760,0
12.113736320,1
12.114129600,0
12.114131680,1
12.114132800,0
12.114134880,1
12.114136000,0
12.114581120,1
12.115868480,0
12.115870560,1
12.115871680,0
12.115873920,1
12.115874880,0
12.116296160,1
12.116683520,0
12.116685600,1
12.116686720,0
12.116688800,1
12.116689920,0
12.117135200,1
12.117525760,0
12.117527680,1
12.117528960,0
12.117531040,1
12.117532160,0
12.117977280,1
12.118368000,0
12.118370080,1
12.118371200,0
12.118373280,1
12.118374400,0
12.118819520,1
12.119210240,0
12.119212320,1
12.119213440,0
12.119215520,1
12.119216640,0
12.119661760,1
12.120052480,0
12.120054560,1
12.120055680,0
12.120057760,1
12.120058880,0
12.120504000,1
12.120894720,0
12.120896800,1
12.120897920,0
12.120900160,1
12.120901120,0
12.121346240,1
12.121737120,0
12.121739040,1
12.121740320,0
12.121742400,1
12.121743520,0
12.122188480,1
12.122579520,0
12.122581440,1
12.122582720,0
12.122584800,1
12.122585920,0
12.123030880,1
12.123421760,0
12.123423840,1
12.123424960,0
12.123427040,1
12.123428160,0
12.123873280,1
12.124264000,0
12.124265920,1
12.124267200,0
12.124269280,1
12.124270400,0
12.124715520,1
12.126002880,0
12.126004960,1
12.126006240,0
12.126008320,1
12.126009280,0
12.126430720,1
12.126818080,0
12.126820160,1
12.126821280,0
12.126823520,1
12.126824480,0
12.127270720,1
12.128584160,0
12.128586240,1
12.128587520,0
12.128589600,1
12.128590720,0
12.128983840,1
12.129372160,0
12.129374240,1
12.129375360,0
12.129377440,1
12.129378560,0
12.129821280,1
12.130214400,0
12.130216480,1
12.130217600,0
12.130219840,1
12.130220800,0
12.130665920,1
12.131056800,0
12.131058720,1
12.131060000,0
12.131062080,1
12.131063200,0
12.131508320,1
12.132795680,0
12.132797760,1
12.132798880,0
12.132800960,1
12.132802080,0
12.133223520,1
12.134534720,0
12.134536640,1
12.134537920,0
12.134540000,1
12.134541120,0
12.134934880,1
12.135322560,0
12.135324640,1
12.135325920,0
12.135328000,1
12.135328960,0
12.135775680,1
12.136164960,0
12.136167040,1
12.136168160,0
12.136170240,1
12.136171360,0
12.136613440,1
12.137007200,0
12.137009280,1
12.137010400,0
12.137012640,1
12.137013600,0
12.137458720,1
12.137849600,0
12.137851520,1
12.137852800,0
12.137854880,1
12.137856000,0
12.138300960,1
12.138691840,0
12.138693760,1
12.138695040,0
12.138697120,1
12.138698240,0
12.139143200,1
12.139534080,0
12.139536160,1
12.139537280,0
12.139539360,1
12.139540480,0
12.139985600,1
12.140376320,0
12.140378400,1
12.140379520,0
12.140381760,1
12.140382720,0
12.140827840,1
12.141218720,0
12.141220640,1
12.141221920,0
12.141224000,1
12.141225120,0
12.141670080,1
12.142061120,0
12.142063040,1
12.142064320,0
12.142066400,1
12.142067520,0
12.142512640,1
12.142903520,0
12.142905600,1
12.142906880,0
12.142908960,1
12.142909920,0
12.143355200,1
12.143745760,0
12.143747840,1
12.143748960,0
12.143751200,1
12.143752160,0
12.144197280,1
12.144588160,0
12.144590080,1
12.144591360,0
12.144593440,1
12.144594560,0
12.145039520,1
12.145430560,0
